player,çam,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Rome Odunze,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,72.77,125.26,896.76,5.1,155.78,42,107,
Tyler Lockett,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,71.48,106.74,873.06,5.38,154.99,43,109,
Keon Coleman,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,61.06,102.38,887.64,5.91,154.71,44,110,
Michael Pittman Jr.,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,81.35,128.49,867.38,4.48,153.27,45,111,
Rashid Shaheed,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,4.81,24.6,0.19,62.05,107.81,885.53,5.09,152.7,46,112,
Jayden Reed,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,62.52,98.84,829.06,6.38,151.05,47,114,
Khalil Shakir,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,65.58,99.62,785.17,5.5,143.63,48,123,
Rashod Bateman,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,55.58,91.2,774.55,6.05,141.5,49,124,
Jordan Addison,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,59.39,98.41,728.67,6.1,139.16,50,126,
Cedric Tillman,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,64.01,106.43,834.07,3.88,138.35,51,127,
Rashee Rice,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,60.64,89.2,763.75,4.67,134.09,52,129,
Emeka Egbuka,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,61.29,93.48,716.98,5.28,133.72,53,130,
Chris Godwin,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,62.92,90,715.04,4.93,131.76,54,131,
Josh Downs,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,68.32,107.07,692.23,4.32,129.3,55,133,
Marquise Brown,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,56.77,99.45,658.84,4.95,123.19,56,135,
Xavier Legette,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,4.6,23.15,0.17,62.43,108.21,688.22,3.29,122.77,57,136,
Adam Thielen,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,57.1,86.58,620.53,3.38,110.54,58,143,
Ray-Ray McCloud,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,5.11,26.99,0.19,51.74,81.94,607.7,3.58,107.1,59,146,
Wan'Dale Robinson,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,61.45,98.23,548.33,3.06,104.26,60,149,
Christian Kirk,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,46.54,75.54,603.47,3.4,103.68,61,151,
Luther Burden III,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,4.57,23.2,0.19,46,78.86,555,3.21,100.88,62,154,
Dyami Brown,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,45.83,80.51,574.09,3.06,98.36,63,157,
Josh Palmer,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,40.36,66.42,576.01,3.42,98.24,64,158,
Keenan Allen,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,46.54,73.71,513.29,3.79,97,65,162,
Calvin Austin III,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,4.97,25.36,0.21,41.45,71.1,530.73,3.29,96.65,66,164,
DeAndre Hopkins,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,41.61,67.75,478.32,4.68,96.36,67,165,
Tre Harris,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,40.37,68.04,523.31,3.65,94.42,68,167,
Michael Wilson,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,4.82,24.78,0.22,40.5,64.83,507.29,3.29,94.3,69,168,
Romeo Doubs,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,39.15,65.88,480.02,4.08,91.62,70,172,
Jayden Higgins,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,41.77,69.74,505.36,3.25,90.92,71,173,
JuJu Smith-Schuster,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,44.58,65.84,502.12,3.27,90.78,72,175,
Dontayvion Wicks,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.49,65.88,474.14,4.21,90.64,73,176,
Josh Reynolds,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,41.04,68.62,509.76,3.05,89.46,74,178,
Kendrick Bourne,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,42.92,64.03,508.38,2.61,87.12,75,180,
Troy Franklin,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,40.79,71.87,453.53,3.63,86.81,76,181,
Tutu Atwell,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,4.53,23,0.18,39.86,64.08,473.72,2.55,85.78,77,185,
Demario Douglas,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,44.46,69.33,484.68,2.59,85.56,78,186,
Van Jefferson,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,38.11,65.92,502.34,2.72,85.47,79,187,
Jamari Thrash,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,38.62,65.03,513.23,2.54,85.39,80,188,
Jordan Whittington,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,40.24,64.08,492.9,2.59,84.75,81,190,
Alec Pierce,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,34.56,64.25,511.56,2.67,84.32,82,192,
Roman Wilson,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,35.09,60.15,424.02,3.01,77.33,83,200,
Tre Tucker,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,35.16,56.37,445.9,2.29,75.57,84,202,
Jalen Nailor,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,32.36,52.93,398.38,3.17,74.7,85,203,
Darius Slayton,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,31.71,60.02,459.71,2.04,73.39,86,207,
Jalen Coker,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.45,64.92,445.89,1.8,73.33,87,208,
Allen Lazard,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,32.79,55.9,394.82,2.87,73.1,88,210,
Greg Dortch,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,4.82,24.94,0.22,35.29,53.56,355.45,2.67,71.96,89,213,
Jalen Tolbert,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,35.08,60.12,390.57,2.54,71.16,90,214,
Brandin Cooks,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,33.66,59.31,375.06,2.74,70.6,91,215,
Andrei Iosivas,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,31.57,52.16,364.08,3.07,70.27,92,217,
Kayshon Boutte,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,31.49,53.34,415.15,2.22,70.24,93,218,
Noah Brown,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,30.28,49.46,391.91,2.43,68.57,94,225,
Malik Washington,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,32.57,49.57,335.92,2.22,62.86,95,229,
Curtis Samuel,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,5.08,26.61,0.22,28.77,44.28,299.66,2.39,62.33,96,231,
Amari Cooper,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.37,45.09,363.7,1.96,60.47,97,232,
Nick Westbrook-Ikhine,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.92,43.76,329.69,2.19,58.73,98,235,
Quentin Johnston,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,24.68,42.53,313.99,2.35,57.84,99,238,
Tai Felton,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.64,43.98,297.04,2.4,56.64,100,241,
Adonai Mitchell,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,27.14,48.17,305.24,2.1,56.01,101,242,
Jake Bobo,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,24.94,42.63,303.94,2.19,55.66,102,243,
Dont'e Thornton Jr.,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,26.03,42.28,317.06,1.83,55.36,103,244,
Tyler Johnson,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,27.64,45.75,290.79,2.11,55.22,104,245,
Tim Patrick,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,22.63,38.16,298.56,2.3,54.63,105,246,
Elic Ayomanor,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,24.81,40.04,307.11,1.79,53.52,106,247,
Zay Jones,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,26.99,42.26,282.34,1.93,53.31,107,248,
Xavier Hutchinson,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,26.04,46.49,283.52,1.94,52.33,108,250,
Kalif Raymond,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.77,32.3,279.55,1.94,48.62,109,254,
Skyy Moore,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,21.74,38.64,265.1,1.89,47.76,110,256,
Jalin Hyatt,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,21.21,38.18,275.77,1.38,46.12,111,259,
Elijah Moore,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,21.57,38.73,235.64,1.87,45.23,112,262,
Jalen McMillan,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,19.64,30.94,229.87,1.92,44.15,113,265,
Devaughn Vele,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,18.96,32.34,214.58,1.62,40.32,114,271,
KaVontae Turpin,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,4.43,22.36,0.17,17.49,30.07,197.87,1.25,38.27,115,272,
Khadarel Hodge,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,15.45,27.31,207.85,1.21,35.43,116,279,
